anio,mes,dpto,prov,dist,cultivo,sup_cosechada,produccion_t,rendimiento_kgha,precio_chacra,altitud,temp_max,temp_min,temp_media,amplitud_termica,riesgo_helada,humedad,precipitacion
2017,6,ICA,CHINCHA,SAN_PEDRO_DE_HUACARPANA,CEBADA_GRANO,12.0,23.88,1990.0,1.5,3630,11.8,4.1,8.0,7.7,1,0.4,0.0
2017,6,ICA,CHINCHA,SAN_PEDRO_DE_HUACARPANA,TRIGO,3.0,5.5,1833.3,1.9,3630,11.8,4.1,8.0,7.7,1,0.4,0.0
2017,6,ICA,PALPA,PALPA,"FRIJOL_CAUPI_CHICLAYO,CASTILLA,CHILENO_GS",1.0,2.29,2290.0,3.0,340,27.8,11.6,19.7,16.2,0,75.0,0.0
2017,6,ICA,PALPA,PALPA,MAIZ_AMARILLO_DURO,28.0,272.75,9741.1,1.0,340,27.8,11.6,19.7,16.2,0,75.0,0.0
2017,6,ICA,PALPA,PALPA,MELON,6.0,150.0,25000.0,2.0,340,27.8,11.6,19.7,16.2,0,75.0,0.0
2017,6,ICA,PISCO,HUMAY,AJI,1.0,21.95,21950.0,1.5,293,23.1,14.4,18.8,8.7,0,85.7,0.0
2017,6,ICA,PISCO,HUMAY,ALGODON,588.0,187.0,318.0,3.43,293,23.1,14.4,18.8,8.7,0,85.7,0.0
2017,6,ICA,PISCO,HUMAY,CHIRIMOYA,3.0,5.5,1833.3,2.8,293,23.1,14.4,18.8,8.7,0,85.7,0.0
2017,6,ICA,PISCO,HUMAY,FRIJOL_GRANO_SECO,2.0,3.98,1990.0,5.5,293,23.1,14.4,18.8,8.7,0,85.7,0.0
2017,6,ICA,PISCO,HUMAY,MAIZ_AMARILLO_DURO,845.0,7082.5,8381.7,1.0,293,23.1,14.4,18.8,8.7,0,85.7,0.0
2017,6,ICA,PISCO,HUMAY,MANDARINA,9.0,60.0,6666.7,1.0,293,23.1,14.4,18.8,8.7,0,85.7,0.0
2017,6,ICA,PISCO,HUMAY,PALLAR_GRANO_SECO,10.0,20.2,2020.0,5.5,293,23.1,14.4,18.8,8.7,0,85.7,0.0
2017,6,ICA,PISCO,HUMAY,TOMATE,5.0,390.5,78100.0,0.7,293,23.1,14.4,18.8,8.7,0,85.7,0.0
2017,6,LA_LIBERTAD,SANCHEZ_CARRION,HUAMACHUCO,AJO,7.0,70.0,10000.0,6.5,3186,18.6,8.2,13.4,10.4,0,67.1,0.2
2017,6,LA_LIBERTAD,SANCHEZ_CARRION,HUAMACHUCO,ARVEJA_GRANO_VERDE,21.0,63.0,3000.0,2.1,3186,18.6,8.2,13.4,10.4,0,67.1,0.2
2017,6,LA_LIBERTAD,SANCHEZ_CARRION,HUAMACHUCO,AVENA_FORRAJERA,8.0,106.2,13275.0,0.3,3186,18.6,8.2,13.4,10.4,0,67.1,0.2
2017,6,LA_LIBERTAD,SANCHEZ_CARRION,HUAMACHUCO,CEBOLLA_CHINA,5.5,84.7,15400.0,1.05,3186,18.6,8.2,13.4,10.4,0,67.1,0.2
2017,6,LA_LIBERTAD,SANCHEZ_CARRION,HUAMACHUCO,COL,1.0,15.77,15770.0,0.97,3186,18.6,8.2,13.4,10.4,0,67.1,0.2
2017,6,LA_LIBERTAD,SANCHEZ_CARRION,HUAMACHUCO,COL_CHINA,0.7,11.3,16142.9,1.12,3186,18.6,8.2,13.4,10.4,0,67.1,0.2
2017,6,LA_LIBERTAD,SANCHEZ_CARRION,HUAMACHUCO,FRIJOL_GRANO_SECO,9.0,11.0,1222.2,4.6,3186,18.6,8.2,13.4,10.4,0,67.1,0.2
2017,6,LA_LIBERTAD,SANCHEZ_CARRION,HUAMACHUCO,HABA_GRANO_SECO,51.0,66.5,1303.9,2.47,3186,18.6,8.2,13.4,10.4,0,67.1,0.2
2017,6,LA_LIBERTAD,SANCHEZ_CARRION,HUAMACHUCO,HABA_GRANO_VERDE,13.0,56.0,4307.7,0.9,3186,18.6,8.2,13.4,10.4,0,67.1,0.2
2017,6,LA_LIBERTAD,SANCHEZ_CARRION,HUAMACHUCO,LECHUGA,0.8,12.45,15562.5,1.3,3186,18.6,8.2,13.4,10.4,0,67.1,0.2
